"Route","Type","HTTP","SSR","Hydration","Anonymous","Authenticated","Mobile","Metadata","Console","Network","Notes","Source","Methods","AuthContract"
"/ai/[locale]/index.md","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/ai/[locale]/index.md/route.ts","GET","public-or-unspecified"
"/ai/api","page","not sampled","App Router server output; hydration separate","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","not sampled","","apps/web/app/ai/api/page.tsx","PAGE","public-or-unspecified"
"/api/admin/mnems/grant","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/admin/mnems/grant/route.ts","POST","guard-or-session-detected"
"/api/admin/overview","route-handler","401","n/a route handler","HOLD: browser unavailable","PASS: blocked as expected","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","server HTTP sampled","","apps/web/app/api/admin/overview/route.ts","GET","guard-or-session-detected"
"/api/admin/redeem-codes/generate","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","not sampled","","apps/web/app/api/admin/redeem-codes/generate/route.ts","POST","guard-or-session-detected"
"/api/admin/users/[userId]","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/admin/users/[userId]/route.ts","GET","guard-or-session-detected"
"/api/admin/users/search","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/admin/users/search/route.ts","GET","guard-or-session-detected"
"/api/admin/whispers","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/admin/whispers/route.ts","GET|PATCH","guard-or-session-detected"
"/api/auth/[...nextauth]","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/auth/[...nextauth]/route.ts","UNKNOWN","public-or-unspecified"
"/api/auth/register","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/auth/register/route.ts","POST","public-or-unspecified"
"/api/books","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","not sampled","","apps/web/app/api/books/route.ts","GET","guard-or-session-detected"
"/api/content/chapters/[chapterId]/navigation","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/content/chapters/[chapterId]/navigation/route.ts","GET","guard-or-session-detected"
"/api/fragments","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","not sampled","","apps/web/app/api/fragments/route.ts","GET|POST","guard-or-session-detected"
"/api/game/rooms","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/game/rooms/route.ts","POST|GET","guard-or-session-detected"
"/api/game/rooms/[code]","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/game/rooms/[code]/route.ts","GET|POST","guard-or-session-detected"
"/api/game/rooms/[code]/move","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/game/rooms/[code]/move/route.ts","POST","guard-or-session-detected"
"/api/game/rooms/[code]/start","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/game/rooms/[code]/start/route.ts","POST","guard-or-session-detected"
"/api/chapter/[chapterId]","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/chapter/[chapterId]/route.ts","GET","guard-or-session-detected"
"/api/me/access/resolve","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/me/access/resolve/route.ts","POST","guard-or-session-detected"
"/api/me/artifacts","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","not sampled","","apps/web/app/api/me/artifacts/route.ts","GET|POST","guard-or-session-detected"
"/api/me/badges","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","not sampled","","apps/web/app/api/me/badges/route.ts","GET","guard-or-session-detected"
"/api/me/cyklus","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/me/cyklus/route.ts","GET|PATCH|DELETE","guard-or-session-detected"
"/api/me/cyklus/sync-profile","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/me/cyklus/sync-profile/route.ts","POST","guard-or-session-detected"
"/api/me/delete","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/me/delete/route.ts","DELETE","guard-or-session-detected"
"/api/me/export","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/me/export/route.ts","GET","guard-or-session-detected"
"/api/me/grants/status","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/me/grants/status/route.ts","GET","guard-or-session-detected"
"/api/me/chapters/unlock","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/me/chapters/unlock/route.ts","POST|GET","guard-or-session-detected"
"/api/me/choices","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/me/choices/route.ts","POST|GET","guard-or-session-detected"
"/api/me/missions","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","not sampled","","apps/web/app/api/me/missions/route.ts","GET|POST","guard-or-session-detected"
"/api/me/privacy","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/me/privacy/route.ts","PATCH","guard-or-session-detected"
"/api/me/profile","route-handler","401","n/a route handler","HOLD: browser unavailable","PASS: blocked as expected","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","server HTTP sampled","","apps/web/app/api/me/profile/route.ts","GET|PATCH","guard-or-session-detected"
"/api/me/progress","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/me/progress/route.ts","POST|GET","guard-or-session-detected"
"/api/me/purchases","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/me/purchases/route.ts","POST","guard-or-session-detected"
"/api/me/run","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/me/run/route.ts","GET|PATCH","guard-or-session-detected"
"/api/me/themes","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/me/themes/route.ts","GET|POST","guard-or-session-detected"
"/api/mnems/packages","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","not sampled","","apps/web/app/api/mnems/packages/route.ts","GET","public-or-unspecified"
"/api/mnems/redeem","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/mnems/redeem/route.ts","POST","guard-or-session-detected"
"/api/public","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/public/route.ts","UNKNOWN","public-or-unspecified"
"/api/public/openapi.json","route-handler","200","n/a route handler","HOLD: browser unavailable","HTTP sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","server HTTP sampled","","apps/web/app/api/public/openapi.json/route.ts","GET","public-or-unspecified"
"/api/public/openapi.yaml","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/public/openapi.yaml/route.ts","GET","public-or-unspecified"
"/api/public/v1","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/public/v1/route.ts","UNKNOWN","public-or-unspecified"
"/api/public/v1/archive","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/public/v1/archive/route.ts","UNKNOWN","public-or-unspecified"
"/api/public/v1/archive/[id]","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/public/v1/archive/[id]/route.ts","GET","public-or-unspecified"
"/api/public/v1/author","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/public/v1/author/route.ts","UNKNOWN","public-or-unspecified"
"/api/public/v1/books","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/public/v1/books/route.ts","UNKNOWN","public-or-unspecified"
"/api/public/v1/books/[id]","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/public/v1/books/[id]/route.ts","GET","public-or-unspecified"
"/api/public/v1/cards","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/public/v1/cards/route.ts","UNKNOWN","public-or-unspecified"
"/api/public/v1/cards/[id]","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/public/v1/cards/[id]/route.ts","GET","public-or-unspecified"
"/api/public/v1/cyklus","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/public/v1/cyklus/route.ts","UNKNOWN","public-or-unspecified"
"/api/public/v1/cyklus/choice","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/public/v1/cyklus/choice/route.ts","UNKNOWN","public-or-unspecified"
"/api/public/v1/cyklus/rules","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/public/v1/cyklus/rules/route.ts","UNKNOWN","public-or-unspecified"
"/api/public/v1/cyklus/run","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/public/v1/cyklus/run/route.ts","UNKNOWN","public-or-unspecified"
"/api/public/v1/chapters","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/public/v1/chapters/route.ts","UNKNOWN","public-or-unspecified"
"/api/public/v1/chapters/[id]","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/public/v1/chapters/[id]/route.ts","GET","public-or-unspecified"
"/api/public/v1/site","route-handler","200","n/a route handler","HOLD: browser unavailable","HTTP sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","server HTTP sampled","","apps/web/app/api/public/v1/site/route.ts","UNKNOWN","public-or-unspecified"
"/api/stripe/checkout","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","not sampled","","apps/web/app/api/stripe/checkout/route.ts","POST","guard-or-session-detected"
"/api/stripe/webhook","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","not sampled","","apps/web/app/api/stripe/webhook/route.ts","POST","public-or-unspecified"
"/api/whispers","route-handler","500","n/a route handler","HOLD: browser unavailable","HTTP sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","server HTTP sampled","","apps/web/app/api/whispers/route.ts","GET|POST","guard-or-session-detected"
"/api/whispers/[id]/boost","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/whispers/[id]/boost/route.ts","POST","guard-or-session-detected"
"/api/whispers/[id]/resonate","route-handler","not sampled","n/a route handler","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/api/whispers/[id]/resonate/route.ts","POST","guard-or-session-detected"
"/archive","page","200","App Router server output; hydration separate","HOLD: browser unavailable","HTTP sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","server HTTP sampled","","apps/web/app/archive/page.tsx","PAGE","public-or-unspecified"
"/archive/[id]","page","not sampled","App Router server output; hydration separate","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","not sampled","","apps/web/app/archive/[id]/page.tsx","PAGE","public-or-unspecified"
"/autor","page","200","App Router server output; hydration separate","HOLD: browser unavailable","HTTP sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","server HTTP sampled","","apps/web/app/autor/page.tsx","PAGE","public-or-unspecified"
"/books","page","200","App Router server output; hydration separate","HOLD: browser unavailable","HTTP sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","server HTTP sampled","","apps/web/app/books/page.tsx","PAGE","public-or-unspecified"
"/cards","page","200","App Router server output; hydration separate","HOLD: browser unavailable","HTTP sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","server HTTP sampled","","apps/web/app/cards/page.tsx","PAGE","public-or-unspecified"
"/cards/[id]","page","not sampled","App Router server output; hydration separate","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","not sampled","","apps/web/app/cards/[id]/page.tsx","PAGE","public-or-unspecified"
"/cyklus","page","200","App Router server output; hydration separate","HOLD: browser unavailable","HTTP sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","server HTTP sampled","","apps/web/app/cyklus/page.tsx","PAGE","public-or-unspecified"
"/cyklus/void","page","200","App Router server output; hydration separate","HOLD: browser unavailable","HTTP sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","server HTTP sampled","","apps/web/app/cyklus/void/page.tsx","PAGE","public-or-unspecified"
"/game","page","not sampled","App Router server output; hydration separate","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","not sampled","","apps/web/app/game/page.tsx","PAGE","public-or-unspecified"
"/game/room/[code]","page","not sampled","App Router server output; hydration separate","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","not sampled","","apps/web/app/game/room/[code]/page.tsx","PAGE","public-or-unspecified"
"/game/solo","page","not sampled","App Router server output; hydration separate","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","not sampled","","apps/web/app/game/solo/page.tsx","PAGE","public-or-unspecified"
"/chapter/[id]","page","200 (41/41 canonical chapter samples)","App Router server output; hydration separate","HOLD: browser unavailable","HTTP sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","server HTTP sampled","","apps/web/app/chapter/[id]/page.tsx","PAGE","guard-or-session-detected"
"/install","page","200","App Router server output; hydration separate","HOLD: browser unavailable","HTTP sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","server HTTP sampled","","apps/web/app/install/page.tsx","PAGE","public-or-unspecified"
"/landing-intro","page","not sampled","App Router server output; hydration separate","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/landing-intro/page.tsx","PAGE","public-or-unspecified"
"/llms-full.txt","route-handler","200","n/a route handler","HOLD: browser unavailable","HTTP sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","server HTTP sampled","","apps/web/app/llms-full.txt/route.ts","GET","public-or-unspecified"
"/llms.txt","route-handler","200","n/a route handler","HOLD: browser unavailable","HTTP sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","server HTTP sampled","","apps/web/app/llms.txt/route.ts","GET","public-or-unspecified"
"/login","page","not sampled","App Router server output; hydration separate","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","not sampled","","apps/web/app/login/page.tsx","PAGE","public-or-unspecified"
"/offline","page","200","App Router server output; hydration separate","HOLD: browser unavailable","HTTP sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","server HTTP sampled","","apps/web/app/offline/page.tsx","PAGE","public-or-unspecified"
"/privacy","page","not sampled","App Router server output; hydration separate","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","not sampled","","apps/web/app/privacy/page.tsx","PAGE","public-or-unspecified"
"/profile","page","200","App Router server output; hydration separate","HOLD: browser unavailable","HTTP sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","server HTTP sampled","","apps/web/app/profile/page.tsx","PAGE","public-or-unspecified"
"/purchase/success","page","not sampled","App Router server output; hydration separate","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/purchase/success/page.tsx","PAGE","public-or-unspecified"
"/reader","page","not sampled","App Router server output; hydration separate","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/reader/page.tsx","PAGE","public-or-unspecified"
"/register","page","not sampled","App Router server output; hydration separate","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","not sampled","","apps/web/app/register/page.tsx","PAGE","public-or-unspecified"
"/resume","page","not sampled","App Router server output; hydration separate","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","not statically declared or inherited","HOLD: no browser console","not sampled","","apps/web/app/resume/page.tsx","PAGE","public-or-unspecified"
"/terms","page","not sampled","App Router server output; hydration separate","HOLD: browser unavailable","not sampled","HOLD: no account/session used","HOLD: no browser viewport run","present/static evidence","HOLD: no browser console","not sampled","","apps/web/app/terms/page.tsx","PAGE","public-or-unspecified"
